,Id,Sentiment,Text Tweet,clean_teks,clean_teks2
0,1,positive,<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>,produk bangsa,"['produk', 'bangsa']"
1,2,positive,"Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>",sakti alhamdulillah v,"['sakti', 'alhamdulillah', 'v']"
2,3,negative,Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>,selamat pagi bantu kamar sinyal g hilang panggil darurat,"['selamat', 'pagi', 'bantu', 'kamar', 'sinyal', 'g', 'hilang', 'panggil', 'darurat']"
3,4,negative,Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!,dear jaringan data lot banget h,"['dear', 'jaringan', 'data', 'lot', 'banget', 'h']"
4,5,negative,Selamat malam PENDUSTA <PROVIDER_NAME> ,selamat malam dusta,"['selamat', 'malam', 'dusta']"
5,6,negative,Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>,tembak paket ganggu ya,"['tembak', 'paket', 'ganggu', 'ya']"
6,7,positive,"<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>",pakai paket nya udah off ganti paket yg gratis youtube senang banget,"['pakai', 'paket', 'nya', 'udah', 'off', 'ganti', 'paket', 'yg', 'gratis', 'youtube', 'senang', 'banget']"
7,8,negative,RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>,rt kamus perhapean,"['rt', 'kamus', 'perhapean']"
8,9,negative,keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari,keluh gak tanggap bikin emosi aja pulsa curi soak deh pulsa kurang,"['keluh', 'gak', 'tanggap', 'bikin', 'emosi', 'aja', 'pulsa', 'curi', 'soak', 'deh', 'pulsa', 'kurang']"
9,10,negative,#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>,bilboard iklan pesan sembunyi ramadhan,"['bilboard', 'iklan', 'pesan', 'sembunyi', 'ramadhan']"
10,11,negative,"<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!",mampus puasa subuh sahur cek pulsa sedot sisa ribu tolong baca,"['mampus', 'puasa', 'subuh', 'sahur', 'cek', 'pulsa', 'sedot', 'sisa', 'ribu', 'tolong', 'baca']"
11,12,negative,<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya ,coba pakai parah koneksi,"['coba', 'pakai', 'parah', 'koneksi']"
12,13,negative,"Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>",tuju silah boikot langgan dukung hrs,"['tuju', 'silah', 'boikot', 'langgan', 'dukung', 'hrs']"
13,14,negative,"Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>",bela bain daftarin kartu g tunggu jam siang puasa rumah sinyal gnya gak kota,"['bela', 'bain', 'daftarin', 'kartu', 'g', 'tunggu', 'jam', 'siang', 'puasa', 'rumah', 'sinyal', 'gnya', 'gak', 'kota']"
14,15,negative,<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>,data hilang,"['data', 'hilang']"
15,16,negative,#internetlelet  <PROVIDER_NAME> ga sesuai iklan ,internetlelet ga sesuai iklan,"['internetlelet', 'ga', 'sesuai', 'iklan']"
16,17,positive,<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya ,kangen nih kirim pos marchandes nya langsung pos nya,"['kangen', 'nih', 'kirim', 'pos', 'marchandes', 'nya', 'langsung', 'pos', 'nya']"
17,18,negative,"yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>",mbps kecepatanya kbps kuota full ga buka google udah bikin nguras uang baterai,"['mbps', 'kecepatanya', 'kbps', 'kuota', 'full', 'ga', 'buka', 'google', 'udah', 'bikin', 'nguras', 'uang', 'baterai']"
18,19,negative,kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>,kuota internet koneksi internetnya lambat banget g lte,"['kuota', 'internet', 'koneksi', 'internetnya', 'lambat', 'banget', 'g', 'lte']"
19,20,negative,Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>,ampun sinyal g lot siput acara live streaming ganggu mundur,"['ampun', 'sinyal', 'g', 'lot', 'siput', 'acara', 'live', 'streaming', 'ganggu', 'mundur']"
20,21,negative,Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>,jaringan nabire bagus berita hoax hoax,"['jaringan', 'nabire', 'bagus', 'berita', 'hoax', 'hoax']"
21,22,negative,Makin jelek jaringan di takalar <PROVIDER_NAME>,jelek jaringan takalar,"['jelek', 'jaringan', 'takalar']"
22,23,positive,Jadi stabil disini. <PROVIDER_NAME> <URL>,stabil,['stabil']
23,24,positive,#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.,cug community cocok komunikasi keluarga rekan bisnis kerja sekolah kampus hubung jarak,"['cug', 'community', 'cocok', 'komunikasi', 'keluarga', 'rekan', 'bisnis', 'kerja', 'sekolah', 'kampus', 'hubung', 'jarak']"
24,25,negative,<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>,kualitas provider ganggu trouble mahal hari uselessg,"['kualitas', 'provider', 'ganggu', 'trouble', 'mahal', 'hari', 'uselessg']"
25,26,negative,<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...,sinyal tai,"['sinyal', 'tai']"
26,27,negative,Jaringan internet <PROVIDER_NAME> di sumba timur parah....,jaringan internet sumba timur parah,"['jaringan', 'internet', 'sumba', 'timur', 'parah']"
27,28,negative,"Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>",ajaib kuota hilang usage bukti guna lebih batas,"['ajaib', 'kuota', 'hilang', 'usage', 'bukti', 'guna', 'lebih', 'batas']"
28,29,negative,"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan",tahun pakai aktif bayar layan muas,"['tahun', 'pakai', 'aktif', 'bayar', 'layan', 'muas']"
29,30,negative,cepat banget data <PROVIDER_NAME> habis <URL>,cepat banget data habis,"['cepat', 'banget', 'data', 'habis']"
30,31,negative,<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! ,gak tolol nama provider gak urus chat app,"['gak', 'tolol', 'nama', 'provider', 'gak', 'urus', 'chat', 'app']"
31,32,negative,"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>",tinggal whatsappnotsave,"['tinggal', 'whatsappnotsave']"
32,33,positive,"Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu",hore sinyal g sambu,"['hore', 'sinyal', 'g', 'sambu']"
33,34,positive,Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>,alhamdulilah kunjung vendor mitra klinikkumsda,"['alhamdulilah', 'kunjung', 'vendor', 'mitra', 'klinikkumsda']"
34,35,negative,Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...,lambat jaringan lot,"['lambat', 'jaringan', 'lot']"
35,36,negative,"<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER",tega pesan suka telat bikin baper,"['tega', 'pesan', 'suka', 'telat', 'bikin', 'baper']"
36,37,negative,Jaringan 4G kecepatan 2G <PROVIDER_NAME>,jaringan g cepat g,"['jaringan', 'g', 'cepat', 'g']"
37,38,negative,Paket extra combo kok lemot ya <PROVIDER_NAME>,paket extra combo lot ya,"['paket', 'extra', 'combo', 'lot', 'ya']"
38,39,negative,Kenapa! Masa buka Facebook aja gak bisa <PROVIDER_NAME>,buka facebook aja gak,"['buka', 'facebook', 'aja', 'gak']"
39,40,negative,"Rugi isi kuota <PROVIDER_NAME> jaringannya busuk banget, dirugikan ..",rugi isi kuota jaring busuk banget rugi,"['rugi', 'isi', 'kuota', 'jaring', 'busuk', 'banget', 'rugi']"
40,41,negative,solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas.  ngomong dong <PROVIDER_NAME>,solidaritas asa solidaritas ngomong,"['solidaritas', 'asa', 'solidaritas', 'ngomong']"
41,42,positive,<PROVIDER_NAME> 1berbagi tanpa kuota 2 berbagai kapan saja <PROVIDER_NAME> bagi berkah <USER_MENTION>,bagi kuota berkah,"['bagi', 'kuota', 'berkah']"
42,43,positive,"<PROVIDER_NAME> bagi berkah 1video ngabuburit dengan anak, video sahur bersama keluarga, video pakai baju koko baru, <USER_MENTION>",berkah video ngabuburit anak video sahur keluarga video pakai baju koko,"['berkah', 'video', 'ngabuburit', 'anak', 'video', 'sahur', 'keluarga', 'video', 'pakai', 'baju', 'koko']"
43,44,negative,Koneksi <PROVIDER_NAME> di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? <PROVIDER_NAME>Care <PROVIDER_NAME>,koneksi daerah sawojajar kota malang minggu lot parah ganggu kah provider namecare,"['koneksi', 'daerah', 'sawojajar', 'kota', 'malang', 'minggu', 'lot', 'parah', 'ganggu', 'kah', 'provider namecare']"
44,45,positive,"Saya pakai <PROVIDER_NAME>, meski <PROVIDER_NAME> lebih greget dalam hal network and speed, setidaknya <PROVIDER_NAME> lebih irit buat anak kere seperti saya.",pakai greget network and speed irit anak kere,"['pakai', 'greget', 'network', 'and', 'speed', 'irit', 'anak', 'kere']"
45,46,positive,#Boikot <PROVIDER_NAME> harusnya #boikot<PROVIDER_NAME> kartu mahal!. lebih bagus juga <PROVIDER_NAME>,boikot kartu mahal bagus,"['boikot', 'kartu', 'mahal', 'bagus']"
46,47,positive,<PROVIDER_NAME> <PROVIDER_NAME> Berbagi berkah,bagi berkah,"['bagi', 'berkah']"
47,48,negative,Baru isi kuota ... tapi baru 2 menit langsung habis kacau. <PROVIDER_NAME> <URL>,isi kuota menit langsung habis kacau,"['isi', 'kuota', 'menit', 'langsung', 'habis', 'kacau']"
48,49,negative,Sinyalmu jelek banget sih akhir akhir ini <PROVIDER_NAME>,sinyal jelek banget sih,"['sinyal', 'jelek', 'banget', 'sih']"
49,50,negative,#Boikot<PROVIDER_NAME> Pergerakan masif PKI dan antek2nya melalui iklan <PROVIDER_NAME>. Mari hancurkan PKI melalui #Boikot<PROVIDER_NAME>,gera masif pki antek iklan mari hancur pki,"['gera', 'masif', 'pki', 'antek', 'iklan', 'mari', 'hancur', 'pki']"
50,51,positive,Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. jangan menari di tabuhan gendang orang lain.. selamat isya dan tarawih... ,alhamdulillah setia tari tabuhan gendang orang selamat isya tarawih,"['alhamdulillah', 'setia', 'tari', 'tabuhan', 'gendang', 'orang', 'selamat', 'isya', 'tarawih']"
51,52,negative,"Aku kira diganti pulsaku. udah komplain sana sini, kok cuma php, <PROVIDER_NAME>",ganti pulsa udah komplain php,"['ganti', 'pulsa', 'udah', 'komplain', 'php']"
52,53,negative,Sinyalmu kenapa <PROVIDER_NAME>,sinyal,['sinyal']
53,54,negative,<PROVIDER_NAME> musuh Ulama #Boikot<PROVIDER_NAME> <URL>,musuh ulama,"['musuh', 'ulama']"
54,55,negative,RT <USER_MENTION>: sudah lama gak pakai <PROVIDER_NAME>,rt gak pakai,"['rt', 'gak', 'pakai']"
55,56,negative,Saya gak benci tapi kelakuan <USER_MENTION> yang bikin #Boikot<PROVIDER_NAME>  Pendukung #PKI coba kamu lihat iklan <PROVIDER_NAME> ada gambar palu arit,gak benci laku bikin dukung pki coba lihat iklan gambar palu arit,"['gak', 'benci', 'laku', 'bikin', 'dukung', 'pki', 'coba', 'lihat', 'iklan', 'gambar', 'palu', 'arit']"
56,57,negative,RT <USER_MENTION>: <USER_MENTION> HT Nya #PuasPake<PROVIDER_NAME> Noh. aku pakek <PROVIDER_NAME> Gimana thu..…,rt ht nya puaspakeprovider name noh pakek gimana thu,"['rt', 'ht', 'nya', 'puaspakeprovider name', 'noh', 'pakek', 'gimana', 'thu']"
57,58,negative,"<PROVIDER_NAME> bisa gak sih kuota 4G digabung saja sama 3G, sayang gak terpakai mubazir... Mubazir itu temennya setan lho!! <PROVIDER_NAME> ",gak sih kuota g gabung g sayang gak pakai mubazir mubazir temennya setan lho,"['gak', 'sih', 'kuota', 'g', 'gabung', 'g', 'sayang', 'gak', 'pakai', 'mubazir', 'mubazir', 'temennya', 'setan', 'lho']"
58,59,positive,"Rejeki pejet2.., semoga ke depan dapat samsung J5..#<PRODUCT_NAME> <PROVIDER_NAME> Medan, Indonesia <URL>",rejeki jet moga samsung jproduct name medan indonesia,"['rejeki', 'jet', 'moga', 'samsung', 'jproduct name', 'medan', 'indonesia']"
59,60,positive,Asik juga kencang begini ? <PROVIDER_NAME> <URL>,asik kencang,"['asik', 'kencang']"
60,61,negative,Buat apa beli paket 4G jika jaringan internetnya masih Edge <PROVIDER_NAME> <PROVIDER_NAME>,beli paket g jaringan internetnya edge,"['beli', 'paket', 'g', 'jaringan', 'internetnya', 'edge']"
61,62,negative,Bagaimana ini <PROVIDER_NAME> 4G tapi lemot,g lot,"['g', 'lot']"
62,63,negative,Nelepon ke sesama <PROVIDER_NAME> pulsa 20.000 cuma cukup buat 23 menit? <PROVIDER_NAME> BANGSAT..............<PROVIDER_NAME>…<URL>,nelepon pulsa menit bangsatprovider nameurl,"['nelepon', 'pulsa', 'menit', 'bangsatprovider nameurl']"
63,64,negative,Signal 4G <PROVIDER_NAME> bekasi kenapa? Gak bisa internetan sama sekali dari tadi subuh,signal g bekas gak internetan subuh,"['signal', 'g', 'bekas', 'gak', 'internetan', 'subuh']"
64,65,negative,<PROVIDER_NAME> tarif Internet Super Kuota naik lagi. Negara lain internet makin murah kok <PROVIDER_NAME> makin mahal? ,tarif internet super kuota negara internet murah mahal,"['tarif', 'internet', 'super', 'kuota', 'negara', 'internet', 'murah', 'mahal']"
65,66,negative,JARINGAN <PROVIDER_NAME> tidak ada SINYAL untuk wilayah Sindangkasih - ciamis <PROVIDER_NAME> ,jaringan sinyal wilayah sindangkasih ciamis,"['jaringan', 'sinyal', 'wilayah', 'sindangkasih', 'ciamis']"
66,67,positive,<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang pointastic deal dari <PROVIDER_NAME> #PointasticDeal <PROVIDER_NAME> <URL>,terimakasih menang pointastic deal pointasticdeal,"['terimakasih', 'menang', 'pointastic', 'deal', 'pointasticdeal']"
67,68,negative,"<PROVIDER_NAME> kalo bukan karena nomer sudah lama, pasti sudah dibuang saja dari dulu. <PROVIDER_NAME>",kalo nomer buang,"['kalo', 'nomer', 'buang']"
68,69,negative,<PROVIDER_NAME> jadi yang dizalimi bukan cuma saya ya? <PROVIDER_NAME> <URL>,zalim ya,"['zalim', 'ya']"
69,70,positive,mantap ini. #4g #LTE <PROVIDER_NAME> <URL>,mantap g lte,"['mantap', 'g', 'lte']"
70,71,negative,Sinyal jelek! Komplain gak direspon! #Boikot<PROVIDER_NAME> <PROVIDER_NAME> <URL>,sinyal jelek komplain gak direspon,"['sinyal', 'jelek', 'komplain', 'gak', 'direspon']"
71,72,negative,"Alhamdulillah mulai hari, ini 2 kartu telpon dan 2 kartu internetan kami gak pakai <PROVIDER_NAME> lagi. #Boikot<PROVIDER_NAME>",alhamdulillah kartu telpon kartu internetan gak pakai,"['alhamdulillah', 'kartu', 'telpon', 'kartu', 'internetan', 'gak', 'pakai']"
72,73,negative,#Boikot<PROVIDER_NAME> bentuk tekanan masyarakat agar perusahaan publik sekelas <PROVIDER_NAME> lebih berhati-hati ke depannya… <URL>,bentuk tekan masyarakat usaha publik kelas berhatihati depan,"['bentuk', 'tekan', 'masyarakat', 'usaha', 'publik', 'kelas', 'berhatihati', 'depan']"
73,74,negative,<USER_MENTION> <USER_MENTION> <PROVIDER_NAME> Alhamdulillah saya gak pakai <PROVIDER_NAME> dari dulu #Boikot<PROVIDER_NAME> ,alhamdulillah gak pakai,"['alhamdulillah', 'gak', 'pakai']"
74,75,positive,Saya dulu memimpikan pakai <PROVIDER_NAME>.  Tapi sekarang gak mimpi lagi.  Setia saja sama <PROVIDER_NAME> walau mahal sedikit. Ikutan #Boikot<PROVIDER_NAME>,mimpi pakai gak mimpi setia mahal ikut,"['mimpi', 'pakai', 'gak', 'mimpi', 'setia', 'mahal', 'ikut']"
75,76,positive,"jauh sebelum ada aksi #Boikot<PROVIDER_NAME> saya tidak pakai <PROVIDER_NAME> lagi,  sebab <PROVIDER_NAME> masih lebih bagus maaf bukan iklan tapi kenyataan",aksi pakai bagus maaf iklan nyata,"['aksi', 'pakai', 'bagus', 'maaf', 'iklan', 'nyata']"
76,77,positive,<PROVIDER_NAME> yang terbaik ini peserta nya… <URL>,baik serta nya,"['baik', 'serta', 'nya']"
77,78,positive,RT <USER_MENTION>: Teman sehari hari. #<PROVIDER_NAME> <PROVIDER_NAME> #<PROVIDER_NAME> #telecommunications… <URL>,rt teman hari telecommunications,"['rt', 'teman', 'hari', 'telecommunications']"
78,79,negative,<PROVIDER_NAME> jelek banget sinyalnya <PROVIDER_NAME>,jelek banget sinyal,"['jelek', 'banget', 'sinyal']"
79,80,positive,"Saya bisa ke Sydney karena program <PROVIDER_NAME> & itu GRATIS! ada 22 Mahasiswa. Belajar dn liburan, kalian para hacker intropeksi sana",sydney program gratis mahasiswa ajar dn libur hacker intropeksi,"['sydney', 'program', 'gratis', 'mahasiswa', 'ajar', 'dn', 'libur', 'hacker', 'intropeksi']"
80,81,negative,Internet mahal turunkan harga paket <PROVIDER_NAME> ,internet mahal turun harga paket,"['internet', 'mahal', 'turun', 'harga', 'paket']"
81,82,positive,Selalu pakai <PROVIDER_NAME> belum pernah pakai <PROVIDER_NAME> dan merasakan <PROVIDER_NAME>lemot Meski <PROVIDER_NAME>mahal tapi dibarengi dengan kualitas,pakai pakai rasa provider namelemot provider namemahal bareng kualitas,"['pakai', 'pakai', 'rasa', 'provider namelemot', 'provider namemahal', 'bareng', 'kualitas']"
82,83,negative,"Webnya <PROVIDER_NAME> dibajak ya?  Cie dibajak. Semoga habis ini paket2, spam2 dan promo2nya makin subur.  <PROVIDER_NAME>",webnya bajak ya cie bajak moga habis paket spam promonya subur,"['webnya', 'bajak', 'ya', 'cie', 'bajak', 'moga', 'habis', 'paket', 'spam', 'promonya', 'subur']"
83,84,positive,CS <PROVIDER_NAME> <PROVIDER_NAME> emang paling fast response sama keluhan konsumen. Beda dengan operator sebelah! #opinipenjualpulsa,cs emang fast response keluh konsumen beda operator belah opinipenjualpulsa,"['cs', 'emang', 'fast', 'response', 'keluh', 'konsumen', 'beda', 'operator', 'belah', 'opinipenjualpulsa']"
84,85,positive,"Ini prinsip soalnya <PROVIDER_NAME> lebih murah dari <PROVIDER_NAME>, masalah sinyal disini Alhamdulillah kencang karena di kota besar kok",prinsip murah sinyal alhamdulillah kencang kota,"['prinsip', 'murah', 'sinyal', 'alhamdulillah', 'kencang', 'kota']"
85,86,positive,Terbaik Buat <PROVIDER_NAME> <PROVIDER_NAME>,baik,['baik']
86,87,positive,Kembali ke paketan <PROVIDER_NAME> <PROVIDER_NAME>,paket,['paket']
87,88,positive,<PROVIDER_NAME> Mantap di Sumedang <PROVIDER_NAME> ,mantap sumedang,"['mantap', 'sumedang']"
88,89,negative,"<PROVIDER_NAME> semakin kesini semakin mahal, jaringannya 4G tapi lelet, pesan masukku penuh isinya pesan promo yang nyedot pulsa semua <PROVIDER_NAME>",kesini mahal jaring g lelet pesan masuk penuh isi pesan promo nyedot pulsa,"['kesini', 'mahal', 'jaring', 'g', 'lelet', 'pesan', 'masuk', 'penuh', 'isi', 'pesan', 'promo', 'nyedot', 'pulsa']"
89,90,negative,Tolong dong kensinya di benerin di wilayah keramat jati. Kenapa lemot !!!! <PROVIDER_NAME> <PRODUCT_NAME> <PROVIDER_NAME>,tolong kensinya benerin wilayah keramat jati lot,"['tolong', 'kensinya', 'benerin', 'wilayah', 'keramat', 'jati', 'lot']"
90,91,negative,"Sinyal kami paling kuat KATANYA. internetku di jakarta lemot parah, 3g aja gak dapat. makin hari makin jadi ini provider <PROVIDER_NAME> <PROVIDER_NAME>",sinyal kuat internetku jakarta lot parah g aja gak provider,"['sinyal', 'kuat', 'internetku', 'jakarta', 'lot', 'parah', 'g', 'aja', 'gak', 'provider']"
91,92,negative,Keamanan <PROVIDER_NAME> dong yang harus ditingkatkan! Bikin rugi pelanggan aja..!! <URL>,aman tingkat bikin rugi langgan aja,"['aman', 'tingkat', 'bikin', 'rugi', 'langgan', 'aja']"
92,93,negative,harga jual & jumlah per rupiah dari kilobyte internet... memang <PROVIDER_NAME> juara mahalnya sih tsel vs <PROVIDER_NAME> <PROVIDER_NAME> ,harga jual rupiah kilobyte internet juara mahal sih tsel vs,"['harga', 'jual', 'rupiah', 'kilobyte', 'internet', 'juara', 'mahal', 'sih', 'tsel', 'vs']"
93,94,negative,<PROVIDER_NAME> <PROVIDER_NAME> kenapa jaringan 4g di sembungan bangunjiwo kasihan bantul sudah 3minggu sangat tidak stabil. kuota <PROVIDER_NAME> terbuang,jaringan g sembung bangunjiwo kasihan bantul minggu stabil kuota buang,"['jaringan', 'g', 'sembung', 'bangunjiwo', 'kasihan', 'bantul', 'minggu', 'stabil', 'kuota', 'buang']"
